dataset,split,seed,device,model,seconds,hours,human,source,note
tox21,random,4,cpu,Morgan + RF,4551.61,1.2643,1h 15m 52s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,cpu,Morgan + SVM,6387.59,1.7743,1h 46m 28s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,cpu,Morgan + XGBoost,3037.89,0.8439,50m 38s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,gpu,D-MPNN (2D),154824.23,43.0067,43h 0m 24s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,gpu,GIN (2D),261.36,0.0726,4m 21s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,gpu,GIN (3D),268.82,0.0747,4m 29s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,gpu,SMILES LSTM,1018.56,0.2829,16m 59s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,gpu,SchNet (3D coords),421.47,0.1171,7m 1s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,0,gpu,D-MPNN (2D),85696.0,23.8044,23h 48m 16s,history_mtime,approx from history file mtime deltas
tox21,scaffold,0,gpu,GIN (3D),4084.0,1.1344,1h 8m 4s,history_mtime,approx from history file mtime deltas
tox21,scaffold,0,gpu,SMILES LSTM,110497.0,30.6936,30h 41m 37s,history_mtime,approx from history file mtime deltas
tox21,scaffold,0,gpu,SchNet (3D coords),37267.0,10.3519,10h 21m 7s,history_mtime,approx from history file mtime deltas
tox21,scaffold,1,gpu,D-MPNN (2D),57175.0,15.8819,15h 52m 55s,history_mtime,approx from history file mtime deltas
tox21,scaffold,1,gpu,GIN (3D),2540.0,0.7056,42m 20s,history_mtime,approx from history file mtime deltas
tox21,scaffold,1,gpu,SMILES LSTM,1259.92,0.35,20m 60s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,1,gpu,SchNet (3D coords),40966.0,11.3794,11h 22m 46s,history_mtime,approx from history file mtime deltas
tox21,scaffold,2,gpu,D-MPNN (2D),99687.74,27.691,27h 41m 28s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,2,gpu,GIN (2D),207.61,0.0577,3m 28s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,2,gpu,GIN (3D),269.54,0.0749,4m 30s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,2,gpu,SMILES LSTM,1325.09,0.3681,22m 5s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,2,gpu,SchNet (3D coords),358.61,0.0996,5m 59s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,3,gpu,D-MPNN (2D),109700.98,30.4725,30h 28m 21s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,3,gpu,GIN (2D),247.09,0.0686,4m 7s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,3,gpu,GIN (3D),335.53,0.0932,5m 36s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,3,gpu,SMILES LSTM,967.7,0.2688,16m 8s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,3,gpu,SchNet (3D coords),406.87,0.113,6m 47s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,4,gpu,D-MPNN (2D),117946.08,32.7628,32h 45m 46s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,4,gpu,GIN (2D),273.84,0.0761,4m 34s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,4,gpu,GIN (3D),263.86,0.0733,4m 24s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,4,gpu,SMILES LSTM,966.73,0.2685,16m 7s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,scaffold,4,gpu,SchNet (3D coords),394.08,0.1095,6m 34s,notebook_cell,Jupyter cell wall time (HPO + final train)
